lap,driverId,constructorId,circuitId,milliseconds,grid,lap_time_sec,weather_condition,raceId,season
1,ver,red_bull,bahrain,101879,13,101.87942713873461,dry,1,2024
2,ver,red_bull,bahrain,101854,13,101.85467819128101,dry,1,2024
3,ver,red_bull,bahrain,101922,13,101.92232252653099,dry,1,2024
4,ver,red_bull,bahrain,101918,13,101.91834332855319,dry,1,2024
5,ver,red_bull,bahrain,102029,13,102.02963639109919,dry,1,2024
6,ver,red_bull,bahrain,102024,13,102.02493117278075,dry,1,2024
7,ver,red_bull,bahrain,102136,13,102.1364381683882,dry,1,2024
8,ver,red_bull,bahrain,101999,13,101.99967188067284,dry,1,2024
9,ver,red_bull,bahrain,102054,13,102.0540624980065,dry,1,2024
10,ver,red_bull,bahrain,102221,13,102.2219559888729,dry,1,2024
11,ver,red_bull,bahrain,102174,13,102.17483519312141,dry,1,2024
12,ver,red_bull,bahrain,102300,13,102.30052202500212,dry,1,2024
13,ver,red_bull,bahrain,102246,13,102.24698834892504,dry,1,2024
14,ver,red_bull,bahrain,102314,13,102.3142596052222,dry,1,2024
15,ver,red_bull,bahrain,102382,13,102.38220266868163,dry,1,2024
16,ver,red_bull,bahrain,102403,13,102.40376882127605,dry,1,2024
17,ver,red_bull,bahrain,102330,13,102.3305801755625,dry,1,2024
18,ver,red_bull,bahrain,102464,13,102.4643671362139,dry,1,2024
19,ver,red_bull,bahrain,102467,13,102.4670025942464,dry,1,2024
20,ver,red_bull,bahrain,102512,13,102.5128340103151,dry,1,2024
21,ver,red_bull,bahrain,102633,13,102.63369728287375,dry,1,2024
22,ver,red_bull,bahrain,102623,13,102.62349739183146,dry,1,2024
23,ver,red_bull,bahrain,102775,13,102.77543058670132,dry,1,2024
24,ver,red_bull,bahrain,102707,13,102.70799545460932,dry,1,2024
25,ver,red_bull,bahrain,102865,13,102.86523133405126,dry,1,2024
26,ver,red_bull,bahrain,102880,13,102.880441099858,dry,1,2024
27,ver,red_bull,bahrain,102821,13,102.8211607071359,dry,1,2024
28,ver,red_bull,bahrain,103009,13,103.00943310673608,dry,1,2024
29,ver,red_bull,bahrain,102976,13,102.97608117848813,dry,1,2024
30,ver,red_bull,bahrain,103000,13,103.00069632235245,dry,1,2024
31,ver,red_bull,bahrain,103123,13,103.123504696906,dry,1,2024
32,ver,red_bull,bahrain,103166,13,103.16681171200382,dry,1,2024
33,ver,red_bull,bahrain,103187,13,103.18727347283063,dry,1,2024
34,ver,red_bull,bahrain,103232,13,103.2323230123929,dry,1,2024
35,ver,red_bull,bahrain,103244,13,103.24460195508847,dry,1,2024
36,ver,red_bull,bahrain,103413,13,103.4133618999942,dry,1,2024
37,ver,red_bull,bahrain,103341,13,103.3418446100782,dry,1,2024
38,ver,red_bull,bahrain,103394,13,103.39424470439644,dry,1,2024
39,ver,red_bull,bahrain,103471,13,103.4716803417909,dry,1,2024
40,ver,red_bull,bahrain,103633,13,103.63325457756844,dry,1,2024
41,ver,red_bull,bahrain,103553,13,103.55399950061322,dry,1,2024
42,ver,red_bull,bahrain,103670,13,103.67002147005972,dry,1,2024
43,ver,red_bull,bahrain,103602,13,103.60252647745055,dry,1,2024
44,ver,red_bull,bahrain,103736,13,103.73655905086133,dry,1,2024
45,ver,red_bull,bahrain,103795,13,103.79565312871931,dry,1,2024
46,ver,red_bull,bahrain,103881,13,103.88143150648236,dry,1,2024
47,ver,red_bull,bahrain,103729,13,103.72930475169468,dry,1,2024
48,ver,red_bull,bahrain,103788,13,103.78875278671764,dry,1,2024
49,ver,red_bull,bahrain,103710,13,103.71099425898623,dry,1,2024
50,ver,red_bull,bahrain,103865,13,103.8654875272134,dry,1,2024
51,ver,red_bull,bahrain,103831,13,103.83161585272124,dry,1,2024
52,ver,red_bull,bahrain,103844,13,103.84419928291459,dry,1,2024
53,ver,red_bull,bahrain,103806,13,103.806439800753,dry,1,2024
54,ver,red_bull,bahrain,103815,13,103.81599539258455,dry,1,2024
55,ver,red_bull,bahrain,103838,13,103.8386615730716,dry,1,2024
56,ver,red_bull,bahrain,103832,13,103.8329709955859,dry,1,2024
57,ver,red_bull,bahrain,103884,13,103.88455525093994,dry,1,2024
58,ver,red_bull,bahrain,103867,13,103.86773991359905,dry,1,2024
59,ver,red_bull,bahrain,103959,13,103.95960836155373,dry,1,2024
60,ver,red_bull,bahrain,103957,13,103.95706541649719,dry,1,2024
1,per,red_bull,bahrain,96161,9,96.161598772531,dry,1,2024
2,per,red_bull,bahrain,96225,9,96.22569527350991,dry,1,2024
3,per,red_bull,bahrain,96226,9,96.22600456916547,dry,1,2024
4,per,red_bull,bahrain,96286,9,96.2864263843498,dry,1,2024
5,per,red_bull,bahrain,96458,9,96.45806831104396,dry,1,2024
6,per,red_bull,bahrain,96488,9,96.4882635515246,dry,1,2024
7,per,red_bull,bahrain,96464,9,96.46476433449908,dry,1,2024
8,per,red_bull,bahrain,96523,9,96.52359583735777,dry,1,2024
9,per,red_bull,bahrain,96534,9,96.53447872295484,dry,1,2024
10,per,red_bull,bahrain,96590,9,96.59084174817757,dry,1,2024
11,per,red_bull,bahrain,96529,9,96.52901560488196,dry,1,2024
12,per,red_bull,bahrain,96546,9,96.54645942144042,dry,1,2024
13,per,red_bull,bahrain,96582,9,96.58260546621919,dry,1,2024
14,per,red_bull,bahrain,96751,9,96.75177898957408,dry,1,2024
15,per,red_bull,bahrain,96793,9,96.7939919012166,dry,1,2024
16,per,red_bull,bahrain,96828,9,96.82893032530623,dry,1,2024
17,per,red_bull,bahrain,96668,9,96.66804232812842,dry,1,2024
18,per,red_bull,bahrain,96783,9,96.78352810991925,dry,1,2024
19,per,red_bull,bahrain,96808,9,96.80880710502568,dry,1,2024
20,per,red_bull,bahrain,96730,9,96.73086357912659,dry,1,2024
21,per,red_bull,bahrain,97076,9,97.07648084995982,dry,1,2024
22,per,red_bull,bahrain,96921,9,96.92166020072109,dry,1,2024
23,per,red_bull,bahrain,97016,9,97.01617719117955,dry,1,2024
24,per,red_bull,bahrain,96945,9,96.9459423580305,dry,1,2024
25,per,red_bull,bahrain,97197,9,97.19725500049644,dry,1,2024
26,per,red_bull,bahrain,97154,9,97.15458841601304,dry,1,2024
27,per,red_bull,bahrain,97273,9,97.27393058104059,dry,1,2024
28,per,red_bull,bahrain,97215,9,97.21501826859446,dry,1,2024
29,per,red_bull,bahrain,97358,9,97.35840471542059,dry,1,2024
30,per,red_bull,bahrain,97352,9,97.35210195606538,dry,1,2024
31,per,red_bull,bahrain,97430,9,97.43034250187739,dry,1,2024
32,per,red_bull,bahrain,97576,9,97.57666488156956,dry,1,2024
33,per,red_bull,bahrain,97515,9,97.51502230364011,dry,1,2024
34,per,red_bull,bahrain,97612,9,97.61221825463551,dry,1,2024
35,per,red_bull,bahrain,97614,9,97.61428294709809,dry,1,2024
36,per,red_bull,bahrain,97652,9,97.65282415264886,dry,1,2024
37,per,red_bull,bahrain,97735,9,97.73599884111331,dry,1,2024
38,per,red_bull,bahrain,97912,9,97.91230831472984,dry,1,2024
39,per,red_bull,bahrain,97924,9,97.92461541294763,dry,1,2024
40,per,red_bull,bahrain,97797,9,97.79724340150618,dry,1,2024
41,per,red_bull,bahrain,97871,9,97.87107742605849,dry,1,2024
42,per,red_bull,bahrain,97959,9,97.95935632250846,dry,1,2024
43,per,red_bull,bahrain,98011,9,98.01190927749037,dry,1,2024
44,per,red_bull,bahrain,98079,9,98.07943565059485,dry,1,2024
45,per,red_bull,bahrain,98215,9,98.2154589156173,dry,1,2024
46,per,red_bull,bahrain,98085,9,98.0850082768499,dry,1,2024
47,per,red_bull,bahrain,98045,9,98.04562182528471,dry,1,2024
48,per,red_bull,bahrain,98066,9,98.06689021431733,dry,1,2024
49,per,red_bull,bahrain,98056,9,98.0569671876107,dry,1,2024
50,per,red_bull,bahrain,98137,9,98.1373824706436,dry,1,2024
51,per,red_bull,bahrain,98076,9,98.07636723950746,dry,1,2024
52,per,red_bull,bahrain,98128,9,98.12858122582053,dry,1,2024
53,per,red_bull,bahrain,98267,9,98.26702811993263,dry,1,2024
54,per,red_bull,bahrain,98229,9,98.22977572216955,dry,1,2024
55,per,red_bull,bahrain,98162,9,98.16207867715686,dry,1,2024
56,per,red_bull,bahrain,98109,9,98.10973388743551,dry,1,2024
57,per,red_bull,bahrain,98351,9,98.35159328637403,dry,1,2024
58,per,red_bull,bahrain,98244,9,98.24442502889136,dry,1,2024
59,per,red_bull,bahrain,98068,9,98.06864754992071,dry,1,2024
60,per,red_bull,bahrain,98294,9,98.29481729702938,dry,1,2024
1,ham,mercedes,bahrain,98220,6,98.22023290856932,dry,1,2024
2,ham,mercedes,bahrain,98161,6,98.16194372724496,dry,1,2024
3,ham,mercedes,bahrain,98301,6,98.30131012962553,dry,1,2024
4,ham,mercedes,bahrain,98323,6,98.32319558861168,dry,1,2024
5,ham,mercedes,bahrain,98304,6,98.30429793929743,dry,1,2024
6,ham,mercedes,bahrain,98366,6,98.36681462725934,dry,1,2024
7,ham,mercedes,bahrain,98387,6,98.38768362808194,dry,1,2024
8,ham,mercedes,bahrain,98299,6,98.29948940425356,dry,1,2024
9,ham,mercedes,bahrain,98439,6,98.43909111579029,dry,1,2024
10,ham,mercedes,bahrain,98556,6,98.55653886274385,dry,1,2024
11,ham,mercedes,bahrain,98500,6,98.50008007197498,dry,1,2024
12,ham,mercedes,bahrain,98643,6,98.64326627802123,dry,1,2024
13,ham,mercedes,bahrain,98442,6,98.44273632252424,dry,1,2024
14,ham,mercedes,bahrain,98676,6,98.67600689479589,dry,1,2024
15,ham,mercedes,bahrain,98607,6,98.60759167658445,dry,1,2024
16,ham,mercedes,bahrain,98635,6,98.63567758547873,dry,1,2024
17,ham,mercedes,bahrain,98688,6,98.6889463313236,dry,1,2024
18,ham,mercedes,bahrain,98743,6,98.74311782386214,dry,1,2024
19,ham,mercedes,bahrain,98849,6,98.8497864999525,dry,1,2024
20,ham,mercedes,bahrain,98822,6,98.82219861435108,dry,1,2024
21,ham,mercedes,bahrain,98944,6,98.94474921925753,dry,1,2024
22,ham,mercedes,bahrain,99015,6,99.01540069685494,dry,1,2024
23,ham,mercedes,bahrain,99001,6,99.00188937378931,dry,1,2024
24,ham,mercedes,bahrain,99131,6,99.13191132423859,dry,1,2024
25,ham,mercedes,bahrain,99125,6,99.12509113174939,dry,1,2024
26,ham,mercedes,bahrain,99164,6,99.16443010014075,dry,1,2024
27,ham,mercedes,bahrain,99312,6,99.31215844041671,dry,1,2024
28,ham,mercedes,bahrain,99271,6,99.27138666282941,dry,1,2024
29,ham,mercedes,bahrain,99257,6,99.25702383036612,dry,1,2024
30,ham,mercedes,bahrain,99435,6,99.4359332263275,dry,1,2024
31,ham,mercedes,bahrain,99378,6,99.37867843770981,dry,1,2024
32,ham,mercedes,bahrain,99384,6,99.38439670939685,dry,1,2024
33,ham,mercedes,bahrain,99425,6,99.4253844402461,dry,1,2024
34,ham,mercedes,bahrain,99532,6,99.53202145190501,dry,1,2024
35,ham,mercedes,bahrain,99659,6,99.65933389949622,dry,1,2024
36,ham,mercedes,bahrain,99709,6,99.70967027258745,dry,1,2024
37,ham,mercedes,bahrain,99759,6,99.7594045533339,dry,1,2024
38,ham,mercedes,bahrain,99724,6,99.72438164526845,dry,1,2024
39,ham,mercedes,bahrain,99986,6,99.9864120922555,dry,1,2024
40,ham,mercedes,bahrain,99962,6,99.96293018429202,dry,1,2024
41,ham,mercedes,bahrain,99987,6,99.98705927977048,dry,1,2024
42,ham,mercedes,bahrain,100058,6,100.0585867527,dry,1,2024
43,ham,mercedes,bahrain,100014,6,100.01476440491062,dry,1,2024
44,ham,mercedes,bahrain,100075,6,100.07542766153361,dry,1,2024
45,ham,mercedes,bahrain,100050,6,100.05050931169686,dry,1,2024
46,ham,mercedes,bahrain,100079,6,100.07965132910107,dry,1,2024
47,ham,mercedes,bahrain,100117,6,100.11715990451214,dry,1,2024
48,ham,mercedes,bahrain,100232,6,100.23286723627295,dry,1,2024
49,ham,mercedes,bahrain,100061,6,100.06198490072904,dry,1,2024
50,ham,mercedes,bahrain,100083,6,100.08381794011245,dry,1,2024
51,ham,mercedes,bahrain,100256,6,100.25611712143768,dry,1,2024
52,ham,mercedes,bahrain,100115,6,100.11594882237958,dry,1,2024
53,ham,mercedes,bahrain,100228,6,100.2285691936357,dry,1,2024
54,ham,mercedes,bahrain,100011,6,100.01130094375397,dry,1,2024
55,ham,mercedes,bahrain,100162,6,100.16258497184094,dry,1,2024
56,ham,mercedes,bahrain,100247,6,100.24790570633233,dry,1,2024
57,ham,mercedes,bahrain,100094,6,100.09448091858566,dry,1,2024
58,ham,mercedes,bahrain,100106,6,100.10636501269751,dry,1,2024
59,ham,mercedes,bahrain,100195,6,100.195029483351,dry,1,2024
60,ham,mercedes,bahrain,100051,6,100.05142037681667,dry,1,2024
1,rus,mercedes,bahrain,94939,1,94.9392571217248,dry,1,2024
2,rus,mercedes,bahrain,94944,1,94.94462408259308,dry,1,2024
3,rus,mercedes,bahrain,94880,1,94.88039618637711,dry,1,2024
4,rus,mercedes,bahrain,94984,1,94.98401170067189,dry,1,2024
5,rus,mercedes,bahrain,94993,1,94.99333972361282,dry,1,2024
6,rus,mercedes,bahrain,94993,1,94.99391789802189,dry,1,2024
7,rus,mercedes,bahrain,95093,1,95.0932843237671,dry,1,2024
8,rus,mercedes,bahrain,95030,1,95.0301188400032,dry,1,2024
9,rus,mercedes,bahrain,95074,1,95.07451589384434,dry,1,2024
10,rus,mercedes,bahrain,95095,1,95.09552727403616,dry,1,2024
11,rus,mercedes,bahrain,95197,1,95.19757684095634,dry,1,2024
12,rus,mercedes,bahrain,95259,1,95.25977691503441,dry,1,2024
13,rus,mercedes,bahrain,95249,1,95.2493173282786,dry,1,2024
14,rus,mercedes,bahrain,95286,1,95.28654340882706,dry,1,2024
15,rus,mercedes,bahrain,95232,1,95.23269787609657,dry,1,2024
16,rus,mercedes,bahrain,95328,1,95.32838584050353,dry,1,2024
17,rus,mercedes,bahrain,95385,1,95.38525472950778,dry,1,2024
18,rus,mercedes,bahrain,95358,1,95.3582615875208,dry,1,2024
19,rus,mercedes,bahrain,95445,1,95.44559784549193,dry,1,2024
20,rus,mercedes,bahrain,95518,1,95.51862829278473,dry,1,2024
21,rus,mercedes,bahrain,95599,1,95.59912805111038,dry,1,2024
22,rus,mercedes,bahrain,95685,1,95.68513962623521,dry,1,2024
23,rus,mercedes,bahrain,95691,1,95.69115384933863,dry,1,2024
24,rus,mercedes,bahrain,95735,1,95.73519051363618,dry,1,2024
25,rus,mercedes,bahrain,95760,1,95.76013120613041,dry,1,2024
26,rus,mercedes,bahrain,95756,1,95.75630825158784,dry,1,2024
27,rus,mercedes,bahrain,95939,1,95.93934490083467,dry,1,2024
28,rus,mercedes,bahrain,95941,1,95.9412747965402,dry,1,2024
29,rus,mercedes,bahrain,96030,1,96.03088840449784,dry,1,2024
30,rus,mercedes,bahrain,96114,1,96.11434568257552,dry,1,2024
31,rus,mercedes,bahrain,96030,1,96.03053990080396,dry,1,2024
32,rus,mercedes,bahrain,96106,1,96.10626732114555,dry,1,2024
33,rus,mercedes,bahrain,96208,1,96.2081404894706,dry,1,2024
34,rus,mercedes,bahrain,96196,1,96.19677120054634,dry,1,2024
35,rus,mercedes,bahrain,96266,1,96.26661935369324,dry,1,2024
36,rus,mercedes,bahrain,96229,1,96.22930335872525,dry,1,2024
37,rus,mercedes,bahrain,96371,1,96.3714563261536,dry,1,2024
