feature,importance
circuitId_22,0.026098954
circuitId_16,0.025341198
circuitId_3,0.024405777
constructorId_1,0.023840519
driverId_9,0.02251872
driverId_12,0.021088747
driverId_10,0.021000162
driverId_19,0.02092834
driverId_7,0.020889595
driverId_16,0.020273944
circuitId_9,0.02015941
driverId_6,0.01995841
constructorId_4,0.019763965
circuitId_5,0.019584958
driverId_8,0.0195001
driverId_5,0.019316332
circuitId_7,0.01931276
constructorId_10,0.018998655
driverId_20,0.018920718
circuitId_15,0.01878851
circuitId_19,0.018759873
driverId_11,0.018634837
circuitId_6,0.01839276
driverId_1,0.018305294
circuitId_13,0.017834159
driverId_4,0.017817168
circuitId_20,0.017806489
driverId_3,0.017696954
circuitId_24,0.017620193
driverId_18,0.017531881
constructorId_6,0.017485514
circuitId_1,0.017448846
driverId_17,0.01728588
circuitId_11,0.017023461
circuitId_4,0.01688065
constructorId_2,0.016300803
constructorId_9,0.01603176
circuitId_21,0.015790729
circuitId_14,0.015782058
driverId_14,0.015587268
driverId_13,0.015535813
year,0.015465873
constructorId_5,0.015344541
circuitId_23,0.015293381
grid,0.015159983
constructorId_7,0.014891133
circuitId_18,0.014871369
circuitId_2,0.014800688
constructorId_8,0.014554063
length,0.014403653
circuitId_10,0.013679497
circuitId_17,0.013354752
circuitId_12,0.0128625035
driverId_2,0.012729494
driverId_15,0.011144686
circuitId_8,0.008982032
constructorId_3,0.008479234
lap,0.0017410405
